,accounttype,accountid,ticker,shares,assetclass,close,value,final_shares_chg,new_shares,new_value,new_value_chg,final_allocation,value_orig,tick_alloc,final_shares_chg_n,new_shares_n,new_value_n,new_value_chg_n,final_allocation_n
0,TIRA,0003,HYG,3.14,ETF,86.06,270.2284,-3.14,0.0,0.0,-270.2284,0.0,270.2284,1.0,-3.14,0.0,0.0,-270.2284,0.0
1,TIRA,0003,IAU,549.871,ETF,16.61,9133.35731,4673.0,5222.871,86751.88731,77618.53,0.10001607842289584,9133.35731,1.0,4673.0,5222.871,86751.88731,77618.53,0.10001607842289584
2,401K,0002,IWM,151.578,ETF,226.94,34399.11132,230.0,381.578,86595.31132,52196.2,0.09983556227528716,34399.11132,1.0,230.0,381.578,86595.31132,52196.2,0.09983556227528716
3,RIRA,0001,QQQ,514.298,ETF,313.14,161047.27572,-237.0,277.298,86833.09572,-74214.18,0.10010970343734808,161047.27572,1.0,-237.0,277.298,86833.09572,-74214.18,0.10010970343734808
4,RIRA,0001,SPY,913.483,ETF,389.48,656620.4371999999,-1463.0,222.89,86811.1972,-569809.24,0.10008445667717283,355783.35884,0.5418402149606439,-792.712234487422,120.77076551257792,47037.79775183885,-308745.56108816114,0.054229783520178584
5,401K,0002,SPY,772.407,ETF,389.48,656620.4371999999,-1463.0,222.89,86811.1972,-569809.24,0.10008445667717283,300837.07836000004,0.45815978503935617,-670.2877655125781,102.11923448742209,39773.39944816116,-261063.6789118389,0.04585467315699426
6,RIRA,0001,XLF,151.121,ETF,34.22,5171.36062,2384.0,2535.121,86751.84062,81580.48,0.10001602459408765,5171.36062,1.0,2384.0,2535.121,86751.84062,81580.48,0.10001602459408765
7,,,XLI,,ETF,96.47,0.0,899.0,899.0,86726.53,86726.53,0.09998684403060543,,1.0,899.0,899.0,86726.53,86726.53,0.09998684403060543
8,,,EEM,,ETF,54.08,0.0,1604.0,1604.0,86744.31999999999,86744.31999999999,0.10000735408624012,,1.0,1604.0,1604.0,86744.31999999999,86744.31999999999,0.10000735408624012
9,,,XLV,,ETF,115.07,0.0,754.0,754.0,86762.78,86762.78,0.10002863658354291,,1.0,754.0,754.0,86762.78,86762.78,0.10002863658354291
10,,,TLT,,ETF,134.75,0.0,643.0,643.0,86644.25,86644.25,0.09989198358217243,,1.0,643.0,643.0,86644.25,86644.25,0.09989198358217243
11,,,SHV,,ETF,110.52,0.0,785.0,785.0,86758.2,86758.2,0.10002335631064764,,1.0,785.0,785.0,86758.2,86758.2,0.10002335631064764
